id;geometry
17;POLYGON ((577288.8133486636 5827570.976720496, 577289.6690327453 5827601.685831383, 577279.3158453787 5827599.575064847, 577288.8133486636 5827570.976720496))
18;POLYGON ((577067.1741572609 5827570.76851129, 577076.0861693833 5827591.658362395, 577068.7765658023 5827592.4553386485, 577067.1741572609 5827570.76851129))
19;POLYGON ((577219.5851795407 5827896.563407365, 577217.3436401454 5827892.2167978585, 577221.9950921473 5827892.829920264, 577219.5851795407 5827896.563407365))
20;POLYGON ((577244.9396774814 5828335.057914292, 577259.6511034209 5828308.655851181, 577267.4682591355 5828303.9732398065, 577244.9396774814 5828335.057914292))
21;POLYGON ((577429.8238135576 5828144.065593563, 577423.2532733157 5828127.773644387, 577431.5101796237 5828134.268391979, 577429.8238135576 5828144.065593563))
22;POLYGON ((577421.6286962256 5827897.302703548, 577421.3020036977 5827894.404862273, 577430.9329607858 5827893.311443913, 577421.6286962256 5827897.302703548))
23;POLYGON ((577401.7662967221 5827538.43131761, 577402.1338329287 5827555.8598636445, 577382.6490772136 5827555.350934655, 577401.7662967221 5827538.43131761))
24;POLYGON ((577301.604282444 5827660.528923635, 577321.2088235809 5827665.856828748, 577306.2178126796 5827667.833579513, 577301.604282444 5827660.528923635))
25;POLYGON ((577231.1062886561 5828051.0133817885, 577228.1547238952 5828017.022448295, 577233.008645909 5828020.247742964, 577231.1062886561 5828051.0133817885))
26;POLYGON ((576981.2493579637 5827569.892202601, 576983.1976293996 5827567.0747496635, 576985.8231132786 5827569.007473922, 576981.2493579637 5827569.892202601))
27;POLYGON ((577226.2393118187 5828283.851337869, 577256.3572309881 5828303.185568987, 577235.8383044797 5828317.713764081, 577226.2393118187 5828283.851337869))
28;POLYGON ((577134.8852639694 5827562.30247981, 577086.5137382422 5827613.106164521, 577085.5188090777 5827604.023097818, 577134.8852639694 5827562.30247981))
29;POLYGON ((577108.7352686622 5827918.376407211, 577103.4972625432 5827911.573857479, 577137.1681328034 5827894.004069493, 577108.7352686622 5827918.376407211))
